old_url,new_url,type,title,status_expected
"/product/חותמת-מופ-דגם-40/","/stamp/חותמת-מופ-דגם-40/","product","חותמת מו""פ דגם 40","301"
"/product/חותמת-מופ-דגם-38/","/stamp/חותמת-מופ-דגם-38/","product","חותמת מו""פ דגם 38","301"
"/product/חותמת-מופ-דגם-55/","/stamp/חותמת-מופ-דגם-55/","product","חותמת מו""פ דגם 55","301"
"/product/חותמת-ערבות-אישית-דגם-a1/","/stamp/חותמת-ערבות-אישית-דגם-a1/","product","חותמת ערבות אישית דגם A1","301"
"/product/חותמת-ערבות-אישית-דגם-a7/","/stamp/חותמת-ערבות-אישית-דגם-a7/","product","חותמת ערבות אישית דגם A7","301"
"/product/חותמת-ערבות-אישית-דגם-a2/","/stamp/חותמת-ערבות-אישית-דגם-a2/","product","חותמת ערבות אישית דגם A2","301"
"/product/חותמת-ערבות-אישית-דגם-a8/","/stamp/חותמת-ערבות-אישית-דגם-a8/","product","חותמת ערבות אישית דגם A8","301"
"/product/חותמת-ערבות-אישית-דגם-a3/","/stamp/חותמת-ערבות-אישית-דגם-a3/","product","חותמת ערבות אישית דגם A3","301"
"/product/חותמת-ערבות-אישית-דגם-a4/","/stamp/חותמת-ערבות-אישית-דגם-a4/","product","חותמת ערבות אישית דגם A4","301"
"/product/חותמת-qr-דגם-1438/","/stamp/חותמת-qr-דגם-1438/","product","חותמת QR דגם 1438","301"
"/product/חותמת-qr-דגם-1414/","/stamp/חותמת-qr-דגם-1414/","product","חותמת QR דגם 1414","301"
"/product/חותמת-qr-דגם-4040/","/stamp/חותמת-qr-דגם-4040/","product","חותמת QR דגם 4040","301"
"/product/חותמת-qr-עגולה-דגם-4040/","/stamp/חותמת-qr-עגולה-דגם-4040/","product","חותמת QR עגולה דגם 4040","301"
"/product/חותמות-למתכות/","/stamp/חותמות-למתכות/","product","חותמות למתכות","301"
"/product/חותמת-עם-דיו-סמוי-מתאימה-לעור-אדם/","/stamp/חותמת-עם-דיו-סמוי-מתאימה-לעור-אדם/","product","חותמת עם דיו סמוי מתאימה לעור אדם","301"
"/product/חותמות-לבדים-דיסקים/","/stamp/חותמות-לבדים-דיסקים/","product","חותמות לבדים דיסקים","301"
"/product/חותמות-לגומי-נייר-כרומו/","/stamp/חותמות-לגומי-נייר-כרומו/","product","חותמות לגומי - נייר כרומו","301"
"/product/חותמות-לעץ-אבן-שיש-קרמיקה/","/stamp/חותמות-לעץ-אבן-שיש-קרמיקה/","product","חותמות לעץ , אבן, שיש קרמיקה","301"
"/product/חותמת-כיס-עגולה-קוטר-עד-40-ממ/","/stamp/חותמת-כיס-עגולה-קוטר-עד-40-ממ/","product","חותמת כיס עגולה קוטר עד 40 ממ","301"
"/product/חותמת-רופא-דגם-עכבר/","/stamp/חותמת-רופא-דגם-עכבר/","product","חותמת רופא דגם עכבר","301"
"/product/חותמת-רופא-דגם-סליידר/","/stamp/חותמת-רופא-דגם-סליידר/","product","חותמת רופא דגם סליידר","301"
"/product/חותמת-רופא-פרינט-20/","/stamp/חותמת-רופא-פרינט-20/","product","חותמת רופא פרינט 20","301"
"/product/חותמת-לעורך-דין-כיס-20/","/stamp/חותמת-לעורך-דין-כיס-20/","product","חותמת לעורך דין כיס 20","301"
"/product/חותמת-לעורך-דין-פרינט-20/","/stamp/חותמת-לעורך-דין-פרינט-20/","product","חותמת לעורך דין פרינט 20","301"
"/product/חותמת-לעורך-דין-כיס-30/","/stamp/חותמת-לעורך-דין-כיס-30/","product","חותמת לעורך דין כיס 30","301"
"/product/חותמת-לעורך-דין-פרינט-30/","/stamp/חותמת-לעורך-דין-פרינט-30/","product","חותמת לעורך דין פרינט 30","301"
"/product/חותמת-לעורך-דין-print-r-540/","/stamp/חותמת-לעורך-דין-print-r-540/","product","חותמת לעורך דין PRINT R 540","301"
"/product/חותמת-לעורך-דין-print-r-530/","/stamp/חותמת-לעורך-דין-print-r-530/","product","חותמת לעורך דין PRINT R 530","301"
"/product/חותמת-תאריך-לעורך-דין-c-4530/","/stamp/חותמת-תאריך-לעורך-דין-c-4530/","product","חותמת תאריך לעורך דין C-4530","301"
"/product/חותמת-תאריך-לעורך-דין-c-4124/","/stamp/חותמת-תאריך-לעורך-דין-c-4124/","product","חותמת תאריך לעורך דין C-4124","301"
"/product/חותמת-עט-כסף-קלאסי-לעורך-דין/","/stamp/חותמת-עט-כסף-קלאסי-לעורך-דין/","product","חותמת עט כסף קלאסי לעורך דין","301"
"/product/חותמת-עט-מנומר-אדום-לעורך-דין/","/stamp/חותמת-עט-מנומר-אדום-לעורך-דין/","product","חותמת עט מנומר אדום לעורך דין","301"
"/product/חותמת-עט-קלאסי-ושחור-מוזהב-לעורך-דין/","/stamp/חותמת-עט-קלאסי-ושחור-מוזהב-לעורך-דין/","product","חותמת עט קלאסי ושחור מוזהב לעורך דין","301"
"/product/חותמות-נומרטור-אוטומטית-6-רצועות/","/stamp/חותמות-נומרטור-אוטומטית-6-רצועות/","product","חותמות נומרטור אוטומטית 6 רצועות","301"
"/product/חותמת-נומרטור-אוטומטית-8-רצועות/","/stamp/חותמת-נומרטור-אוטומטית-8-רצועות/","product","חותמת נומרטור אוטומטית 8 רצועות","301"
"/product/תעודת-סיום-עריכת-דין-צרובה-במתכת-על-גבי/","/stamp/תעודת-סיום-עריכת-דין-צרובה-במתכת-על-גבי/","product","תעודת סיום עריכת דין צרובה במתכת על גבי לוח עץ","301"
"/product/תעודת-הסמכה-צרובה-במתכת-על-גבי-לוח-עץ/","/stamp/תעודת-הסמכה-צרובה-במתכת-על-גבי-לוח-עץ/","product","תעודת הסמכה צרובה במתכת על גבי לוח עץ","301"
"/shop/","/stamps/","shop","","301"
"/צור-קשר/","/contact/","page","צור קשר","301"
"/מי-אנחנו/","/about/","page","מי אנחנו","301"
"/?p=<id>","(per id)","query","","301"
"/?page_id=<id>","(per id)","query","","301"
"/ממליצים/","/ממליצים/","kept (200)","ממליצים","200"
"/היסטוריה/","/היסטוריה/","kept (200)","היסטוריה","200"
"/מפת-אתר/","/מפת-אתר/","kept (200)","מפת אתר","200"
"/הצהרת-נגישות/","/הצהרת-נגישות/","kept (200)","הצהרת נגישות","200"
"/חותמות-בהזמנה-אישית-מוכנות-תוך-2-דקות/","/חותמות-בהזמנה-אישית-מוכנות-תוך-2-דקות/","kept (200)","חותמות בהזמנה אישית מוכנות תוך 2 דקות","200"
"/hware/","/hware/","kept (200)","HWARE","200"
